Date,b&h,without_pca,with_pca,with_pca_and_dwt,with_pca_dwt_mooga
2016-06-03,131719.72187932255,115259.19347917254,135448.17506349715,116823.77959167234,94149.83504327259
2016-06-06,131053.4483705201,115832.78497264546,134628.49366962165,116232.68869670363,94608.70823805092
2016-06-07,128517.62131978924,118015.86565347893,137101.15332157098,113983.005554421,96355.17278271771
2016-06-08,129243.55884819158,117390.9097073349,136354.73701075264,113225.00816634165,95855.20802580248
2016-06-09,128915.39156642997,117673.42726021333,136692.1619298402,112824.59131351506,96081.22206810521
2016-06-10,128627.0104137098,117921.69313585278,136250.15215727407,112572.11754167834,96279.83476861677
2016-06-13,128159.62202822768,118324.06543269294,135755.02963607755,112162.92537540021,96601.73260608889
2016-06-14,127165.1812376636,119180.1744790443,134701.58019938078,111292.30600622932,97286.61984316999
2016-06-15,124589.57564487246,121397.50030552306,137297.73777227628,109037.39838608145,99060.48050435299
2016-06-16,125872.40517513786,120293.11885193855,138573.2042013876,110160.49816938773,98176.97534148539
2016-06-17,126697.7928521815,119582.54677588443,139482.09413369634,110883.11383995124,97608.5176806421
2016-06-20,126479.01466434042,119770.89181113674,139241.1827439725,110963.76908054766,97342.72462371639
2016-06-21,126956.34958208288,120102.67825878508,139766.8083537823,111271.32009837807,97710.01248357467
2016-06-22,127075.67762128265,119869.61392602141,139898.20849033303,111375.90624946658,97801.83007015736
2016-06-23,126936.45651756217,120001.38642983467,139744.90276133342,111253.88464007732,97694.70566058256
2016-06-24,127622.6155039042,119351.9382842016,140500.47861010695,111855.2749578732,98222.67429696053
2016-06-27,125743.13060367774,121130.86708568054,138430.85126861243,110207.9832311183,96776.49476770066
2016-06-28,124022.74469773017,119354.82009352595,136536.4185394951,108700.13527269539,95452.73479532273
2016-06-29,126866.84596570191,116496.45684691567,139668.24989683361,111192.87383538268,97641.14345579514
2016-06-30,126707.73938444187,116234.17110755287,139493.0469299208,111053.42341737168,97518.71806107073
2016-07-01,127025.96013394314,115825.64071272209,139843.46121828211,111332.33090307271,97763.57468836209
2016-07-05,128945.2235762299,114063.2042443187,141956.89139013874,113014.48689675011,99240.36202576365
2016-07-06,128676.73548803045,114309.75361713997,142110.73766633254,112779.16805680098,99033.77245595261
2016-07-07,130884.39525699968,112282.4862806546,139677.58735675848,114714.09164808627,100732.46786184235
2016-07-08,130476.67089111745,112656.89464776825,139103.39962233597,114356.73789938989,100418.7422067715
2016-07-11,133638.98532160936,109752.97945089631,135589.64322040818,117128.37729809922,102852.0016566928
2016-07-12,134444.4799341323,109013.30346429937,136270.6950694894,117834.36041666262,103471.79371749595
2016-07-13,134136.2057168914,109296.38795950891,135958.22256524325,117986.92437242148,103234.59050170067
2016-07-14,132863.32271888637,110465.26106273533,137113.6317943107,119103.7925282586,102255.16399253531
2016-07-15,133837.8704449297,111164.51943323812,137981.5637295952,119857.09194378853,103005.03485955893
2016-07-18,134076.54169729148,110855.09952425062,138227.6644372834,119523.3967023629,103188.6817084093
2016-07-19,135627.8669027375,112025.60828971234,139827.27992149818,118133.54211654988,104382.35703672426
2016-07-20,136264.30840174004,112551.22972225434,139030.47351151388,118569.11443567576,104872.07029130698
2016-07-21,136691.92583214294,112085.0229743956,138589.12906243076,118940.99185083156,105201.1027693699
2016-07-22,135359.378814538,110881.65661671649,139964.45239480314,119982.17016786845,104175.7674669132
2016-07-25,135806.8741354994,111248.18488544167,139502.59195167082,119592.57064232326,104520.0950922833
2016-07-26,135786.98107097868,111153.16861986557,139523.12360678412,119455.69191717786,104504.7882692912
2016-07-27,136035.59126861973,110949.29858425139,139266.53273159236,119117.32811773673,104696.08269179512
2016-07-28,135598.03489293755,111308.11183785068,139718.1351777001,119502.53095819622,104359.4026400786
2016-07-29,137238.87130174565,109962.56213685336,138024.62600479604,118058.02030647313,105621.95283401557
2016-08-01,137517.3135091866,109734.22869242464,137737.2454774664,117812.89365498084,105836.20165316518
2016-08-02,138044.3659142686,109302.02521238173,137193.27407494502,117348.90296762755,106241.74489481872
2016-08-03,136502.97965410183,110566.02192183756,138784.14063334672,118705.86266164597,105055.71714015733
2016-08-04,136343.86548586062,110696.50173100812,138483.96896655226,118449.10662865032,104933.28590759041
2016-08-05,135339.4857500173,111520.13219532321,137463.95686127947,117576.62500986815,104160.46064392109
2016-08-08,136194.7054368609,110818.81877508083,138332.4873603697,118319.53471838114,103397.34140202201
2016-08-09,135498.5999182585,111389.65238615265,137625.5475146295,117714.84383500375,103933.64059534216
2016-08-10,135399.1497696172,111471.20537769413,137524.5495037525,117628.45377397582,104010.25977600746
2016-08-11,134891.99042905594,111887.09577078083,137009.49663259886,117951.79479297568,104400.9895403309
2016-08-12,136323.9724213399,110712.8148179643,138463.7662823503,119084.89592321154,103297.7504956919
2016-08-15,135856.59920982007,111096.07903713865,137989.11877960057,118676.62632793449,103657.827911571
2016-08-16,136343.86548586062,110696.50173100812,138483.96896655226,119102.27332782205,103282.42432146972
2016-08-17,135518.47780881697,111373.35174243595,137645.73478869858,118381.2634698598,103918.3261115656
2016-08-18,135438.92072469642,111438.59164702118,137564.9394620236,118332.3645331907,103979.61911800868
2016-08-19,134096.4347618122,112539.48237339413,136201.55877598168,117042.81441043432,105013.90791431635
2016-08-22,134752.76932533545,112001.2624929952,136868.1086634508,117615.51100915062,104508.24937899495
2016-08-23,134633.42611217345,112099.12857149284,136746.9079683719,117602.09015193477,104600.19473388241
2016-08-24,135508.53886353775,111381.5020642943,137635.64115166405,116837.64340998424,103925.98335345388
2016-08-25,134354.98390473245,112327.46201592158,138670.56954037055,117845.32079617797,104814.71441121049
2016-08-26,134722.92214157325,112025.73834504922,138296.5467217921,117523.91171380147,104531.24448555104
2016-08-29,133658.87838613006,112898.2956269934,139378.18653155683,116479.11220550821,105351.01360453061
2016-08-30,134533.99113749433,112180.66911979487,140150.7022551491,117241.85639346772,104676.80222410211
