date,open,high,low,close,volume,RSI,PPO,ADX,MOM,CCI,ROC,WILLR,SMA20,SMA50,SMA100,EMA20,EMA50,EMA100,PSAR,OBV,ADOSC,MFI,ATR,BBANDS_upper,BBANDS_middle,BBANDS_lower,STOCH_K,STOCK_D,MACD,MACD_S,MACD_H
2003-04-25,237.0,237.25,236.5,234.75,339,44.44418591676101,0.9820642978003316,16.386132875171334,-4.0,-188.7434554973823,-1.675392670157072,-126.92307692307692,238.85,,,237.88428414068204,,,242.91,1048.0,-537.0571767698129,49.46263536439812,1.0073558501983897,240.77409987036413,237.65,234.52590012963583,-25.47657952069721,-6.894517066085793,0.5789178526783019,1.0131971780867692,-0.4342793254084673
2003-04-28,234.75,235.25,234.75,231.75,109,38.80367594104938,0.6540195799650694,15.592148149584348,-7.5,-228.07017543859712,-3.13479623824452,-136.36363636363637,239.05,,,237.30006660347425,,,242.6536,939.0,-1275.9626907071795,35.03638208932514,0.9711161466127904,241.6165631459984,236.25,230.8834368540016,-50.45077972709556,-27.63301226923528,0.0295098262194528,0.816459707713306,-0.7869498814938531
2003-04-29,232.0,233.0,232.0,231.75,206,38.80367594104938,0.4034987949197061,15.666364119568968,-7.5,-217.58691206543983,-3.13479623824452,-102.38095238095238,238.8125,,,236.7714888317148,,,242.179384,939.0,-1560.5637927081807,28.490571168610217,0.9910364218547338,240.52097875150343,234.85,229.17902124849653,-36.747076023391855,-37.55814509039493,-0.4012743520741821,0.5729128957558084,-0.9741872478299906
2003-04-30,231.75,232.25,231.5,232.75,22,41.665714062431135,0.1136686558681462,15.871907392400876,-9.0,-156.69934640522874,-3.722854188210967,-88.63636363636364,238.475,,,236.38848989536095,,,241.36503328,961.0,-1518.7887472199654,33.37552089657992,0.9738195345793956,237.86426150113877,233.65,229.43573849886127,-16.955409356725188,-34.71775503573759,-0.6544383168105128,0.3274426532425442,-0.981880970053057
2003-05-01,232.5,232.75,232.5,233.25,15,43.09865180743709,-0.178477264430297,15.85859467030212,-6.0,-108.73926983141924,-2.5078369905956133,-84.0909090909091,238.125,,,236.0895860958028,,,240.378529952,976.0,-1339.7636152275154,35.938193624767,0.922118139252296,235.07710574513672,232.85,230.62289425486327,14.242149758454062,-13.153445207221049,-0.8054421260277422,0.1008656973884869,-0.9063078234162292
2003-05-02,233.25,233.25,233.25,234.75,15,47.28239524604872,-0.5334954078876378,15.637085833931712,-6.0,-72.42774566474013,-2.492211838006231,-70.45454545454545,237.925,,,235.96200646763108,,,239.4906769568,991.0,-1144.7293689371943,40.09009268301267,0.856252557877132,235.07710574513672,232.85,230.62289425486327,44.24214975845407,13.842963386727597,-0.794913006456909,-0.0782900433805922,-0.7166229630763167
2003-05-05,239.0,239.0,239.0,239.0,22,56.94235132847637,-0.7072259752167438,15.531036009364486,0.25,48.2805783509178,0.1047120418848246,-31.818181818181817,237.925,,,236.25133918499955,,,231.5,1013.0,-960.8763255514096,37.34242774943121,1.0986630894573368,239.38330601085235,234.3,229.21669398914767,72.36714975845406,43.61714975845401,-0.4385735195400571,-0.1503467386124852,-0.2882267809275718
2003-05-06,239.0,239.0,238.0,240.5,153,59.74595139312764,-0.920393993218144,15.083702629679692,1.75,55.388621794871256,0.732984293193728,-18.181818181818183,237.7875,235.595,,236.65597354833287,235.595,,231.65,1166.0,-603.5840509343689,33.04297922052261,1.09161572592467,242.3061969278433,236.05,229.79380307215672,102.22222222222216,72.94384057971006,-0.0347340523597381,-0.1272242013619358,0.0924901490021976
2003-05-07,241.0,241.5,241.0,245.75,63,67.67845959437264,-0.8236258347105223,15.33774160785712,7.0,132.23124516627968,2.931937172774868,42.5,237.9375,235.87,,237.5220713056345,235.99323529411765,,231.797,1229.0,-41.72957032427075,25.78906407451309,1.0850717455014791,247.5190472994569,238.65,229.7809527005431,122.40740740740736,98.99892646269448,0.7008636390477534,0.038393366720002,0.6624702723277514
2003-05-08,245.75,245.75,245.25,245.75,9,67.67845959437264,-0.6791763979490559,16.497829035636972,8.5,165.34772182254167,3.5827186512118026,-0.0,238.125,236.15,,238.3056835622408,236.37585351787772,,232.18512,1229.0,194.77722359115432,29.26858192762628,1.0432809065370878,249.5559502734672,241.15,232.7440497265328,122.40740740740736,115.67901234567891,1.2691995666286005,0.2845546067017217,0.9846449599268788
